State,International plan,Voice mail plan,state_numeric,Area code,Account length,International plan_numeric,Voice mail plan numeric,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Tota all miniutes,Total all calls,Total all charges,Customer service calls,churn_numeric,Churn
OR,No,Yes,29,408,59,0,1,28,120.9,97,20.55,213,92,18.11,163.1,116,7.34,8.5,5,2.3,505.5,310,48.3,2,0,FALSE
DE,No,No,30,408,142,0,0,0,187,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2,571.2,339,56.13,2,0,FALSE
WY,No,Yes,20,415,97,0,1,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11,3,2.97,432,275,47.25,1,0,FALSE
IA,No,No,10,408,52,0,0,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,706.3,296,68.32,3,0,FALSE
IN,No,No,31,408,60,0,0,0,220.6,57,37.5,211.1,115,17.94,249,129,11.21,6.8,3,1.84,687.5,304,68.49,1,0,FALSE
UT,No,No,32,415,96,0,0,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,665.5,257,62.76,2,0,FALSE
WY,No,No,20,415,87,0,0,0,151,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,584.3,329,56.14,5,1,TRUE
IN,No,No,31,408,81,0,0,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,705.2,253,65.94,1,0,FALSE
CO,No,No,17,415,141,0,0,0,126.9,98,21.57,180,62,15.3,140.8,128,6.34,8,2,2.16,455.7,290,45.37,1,0,FALSE
CO,No,Yes,17,408,121,0,1,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,460.7,286,49.85,3,1,TRUE
OK,No,No,4,408,125,0,0,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12,8,3.24,608,332,65.82,1,0,FALSE
ID,No,No,12,408,174,0,0,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,540,249,57.68,1,0,FALSE
CA,No,Yes,33,415,116,0,1,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,624.7,334,71.42,2,0,FALSE
SD,No,Yes,34,408,149,0,1,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,646.6,212,62.03,3,0,FALSE
NC,No,No,35,408,38,0,0,0,131.2,98,22.3,162.9,97,13.85,159,106,7.15,8.2,6,2.21,461.3,307,45.51,2,0,FALSE
WA,No,Yes,36,415,40,0,1,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,537.9,269,50.89,2,0,FALSE
WY,Yes,No,20,415,43,1,0,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,631.4,280,70.46,0,0,FALSE
MN,Yes,No,37,408,113,1,0,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,469.2,359,46.88,0,0,FALSE
UT,No,No,32,408,126,0,0,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,589.8,211,63.43,1,0,FALSE
TX,No,No,15,510,150,0,0,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,510.4,314,55.2,4,1,TRUE
NJ,No,No,3,408,138,0,0,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,719.4,287,72.08,3,0,FALSE
MN,No,Yes,37,510,162,0,1,46,224.9,97,38.23,188.2,84,16,254.6,61,11.46,12.1,2,3.27,679.8,244,68.96,0,0,FALSE
NM,No,No,38,510,147,0,0,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8,4,2.16,578,281,64.84,3,0,FALSE
NV,No,No,39,415,90,0,0,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,589.8,372,62.68,1,0,FALSE
MN,No,No,37,415,50,0,0,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,567.9,275,55.5,1,0,FALSE
DC,No,No,40,415,82,0,0,0,300.3,109,51.05,181,100,15.39,270.1,73,12.15,11.7,4,3.16,763.1,286,81.75,0,1,TRUE
NY,No,No,41,408,144,0,0,0,61.6,117,10.47,77.1,85,6.55,173,99,7.79,8.2,7,2.21,319.9,308,27.02,4,1,TRUE
MD,No,No,26,408,70,0,0,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15,2,4.05,569,278,56.46,1,0,FALSE
WV,No,No,8,415,144,0,0,0,201.1,99,34.19,303.5,74,25.8,224,119,10.08,13.2,2,3.56,741.8,294,73.63,1,0,FALSE
OR,Yes,No,29,415,116,1,0,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,711.3,297,69.96,3,0,FALSE
CO,No,Yes,17,408,55,0,1,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11,2,2.97,488.4,310,50.6,3,0,FALSE
GA,No,Yes,24,415,70,0,1,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,741.7,271,77.16,1,0,FALSE
TX,No,No,15,510,106,0,0,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,663.6,270,68.94,2,1,TRUE
IN,No,No,31,408,94,0,0,0,157.9,105,26.84,155,101,13.18,189.6,84,8.53,8,5,2.16,510.5,295,50.71,4,1,TRUE
WV,No,No,8,510,111,0,0,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12,2,3.24,617.2,294,65.6,1,0,FALSE
KY,No,Yes,42,415,74,0,1,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,490.5,254,48.72,2,0,FALSE
NJ,No,No,3,415,128,0,0,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,708.3,290,74.64,1,1,TRUE
DC,No,No,40,510,82,0,0,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3,459.5,262,48.96,1,0,FALSE
AR,No,No,27,415,80,0,0,0,124.3,100,21.13,173,107,14.71,253.2,62,11.39,7.9,9,2.13,558.4,278,49.36,1,0,FALSE
ME,No,No,43,415,78,0,0,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,704.7,317,72.6,3,0,FALSE
AZ,No,No,18,415,90,0,0,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,508,250,55.26,3,0,FALSE
AK,No,No,25,408,104,0,0,0,278.4,106,47.33,81,113,6.89,163.2,137,7.34,9.8,5,2.65,532.4,361,64.21,1,0,FALSE
AZ,No,No,18,415,99,0,0,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,605.1,279,62.25,4,0,FALSE
MS,No,No,44,408,120,0,0,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,594,336,62.81,1,1,TRUE
IA,No,Yes,10,510,98,0,1,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,578,297,57.24,4,0,FALSE
VT,No,No,13,415,135,0,0,0,151.7,82,25.79,119,105,10.12,180,100,8.1,10.5,6,2.84,461.2,293,46.85,0,0,FALSE
IN,No,No,31,408,122,0,0,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,604.1,280,57.99,1,0,FALSE
AZ,No,No,18,408,95,0,0,0,238.1,65,40.48,187.2,98,15.91,190,115,8.55,11.8,4,3.19,627.1,282,68.13,4,0,FALSE
NM,No,Yes,38,510,93,0,1,21,117.9,131,20.04,164.5,115,13.98,217,86,9.76,9.8,3,2.65,509.2,335,46.43,1,0,FALSE
UT,No,No,32,408,157,0,0,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,628.7,326,65.09,3,0,FALSE
MI,No,No,45,408,120,0,0,0,165,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,609.7,277,62.61,1,0,FALSE
MA,No,No,6,415,103,0,0,0,185,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,643.7,304,63.86,2,0,FALSE
AL,No,No,5,408,98,0,0,0,161,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,591.7,347,57.12,4,0,FALSE
DE,No,No,30,408,125,0,0,0,126.7,108,21.54,206,90,17.51,247.8,114,11.15,13.3,7,3.59,593.8,319,53.79,1,0,FALSE
ME,Yes,Yes,43,510,36,1,1,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20,6,5.4,610,343,66.75,0,1,TRUE
NJ,No,No,3,510,64,0,0,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,386.6,317,47.01,1,0,FALSE
NV,No,No,39,415,74,0,0,0,282.5,114,48.03,219.9,48,18.69,170,115,7.65,9.4,4,2.54,681.8,281,76.91,1,1,TRUE
MO,No,Yes,7,510,112,0,1,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10,3,2.7,458.8,320,43.41,2,0,FALSE
NE,No,No,19,408,46,0,0,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9,13.1,7,3.54,650.7,292,67.59,1,0,FALSE
TX,No,Yes,15,408,41,0,1,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,505,314,56.74,0,0,FALSE
MD,No,No,26,510,121,0,0,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,604.8,327,60.61,3,0,FALSE
MS,No,No,44,415,193,0,0,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,427.7,311,48.51,1,0,FALSE
NV,No,No,39,510,130,0,0,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,501,339,48.29,2,0,FALSE
AZ,No,No,18,408,85,0,0,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12,3,3.24,695.3,265,68.34,1,0,FALSE
MS,No,No,44,415,162,0,0,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,392.1,280,34.84,4,1,TRUE
MS,No,Yes,44,510,61,0,1,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,566.2,362,56.23,4,1,TRUE
TX,No,No,15,408,92,0,0,0,91.7,90,15.59,193.7,123,16.46,175,86,7.88,9.2,4,2.48,469.6,303,42.41,2,0,FALSE
NE,No,Yes,19,408,131,0,1,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,650.1,338,64.63,3,0,FALSE
NE,No,No,19,415,90,0,0,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,521,331,52.79,3,0,FALSE
NJ,No,No,3,415,78,0,0,0,231,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,732.3,378,73.18,1,0,FALSE
TX,No,No,15,408,82,0,0,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,614.7,259,62.34,4,0,FALSE
AR,No,No,27,408,163,0,0,0,197,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,615.1,327,62.46,1,0,FALSE
AL,Yes,No,5,510,91,1,0,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,561.6,328,50.95,3,0,FALSE
NY,No,Yes,41,415,75,0,1,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,636.1,341,60.5,5,0,FALSE
FL,No,No,16,510,91,0,0,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12,3,3.24,620.8,351,64.43,3,0,FALSE
AK,No,Yes,25,510,127,0,1,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,584.5,272,56.79,1,0,FALSE
NV,No,Yes,39,415,113,0,1,23,205,101,34.85,152,60,12.92,158.6,59,7.14,10.2,5,2.75,525.8,225,57.66,2,0,FALSE
DE,No,No,30,510,110,0,0,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,630.9,314,60.8,1,0,FALSE
MD,No,Yes,26,415,120,0,1,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,685,285,67.04,0,0,FALSE
MI,No,Yes,45,415,157,0,1,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,504.6,325,56.14,3,0,FALSE
VT,No,No,13,510,103,0,0,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,654.2,231,70.71,1,0,FALSE
VT,Yes,No,13,408,117,1,0,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,608.1,312,58.53,2,1,TRUE
MI,No,No,45,415,140,0,0,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,516.7,299,61.86,3,0,FALSE
UT,Yes,No,32,408,83,1,0,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,620.6,322,73.16,1,0,FALSE
RI,No,Yes,9,408,145,0,1,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3,717.8,282,73.5,2,0,FALSE
IA,No,No,10,408,113,0,0,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,598.1,297,62.38,1,0,FALSE
RI,No,No,9,415,56,0,0,0,226,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,621.9,383,67.72,1,0,FALSE
OK,No,No,4,415,96,0,0,0,260.4,115,44.27,146,46,12.41,269.5,87,12.13,11.5,4,3.11,687.4,252,71.92,5,0,FALSE
LA,No,No,23,408,151,0,0,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,746.5,359,69.83,0,0,FALSE
OH,No,No,2,415,83,0,0,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,734.5,357,87.89,0,1,TRUE
VA,No,Yes,14,510,139,0,1,23,157.6,129,26.79,247,96,21,259.2,112,11.66,13.7,2,3.7,677.5,339,63.15,0,0,FALSE
FL,No,Yes,16,510,115,0,1,24,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,499.9,371,49.76,1,0,FALSE
SC,No,No,46,415,87,0,0,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,453.1,311,45.92,0,0,FALSE
VA,No,No,14,415,141,0,0,0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12,6,3.24,724.1,330,72.09,0,0,FALSE
IA,No,Yes,10,510,141,0,1,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,668.9,325,65.57,3,0,FALSE
MI,No,No,45,415,62,0,0,0,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,483.1,308,42.26,1,0,FALSE
OK,No,No,4,415,146,0,0,0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,528.2,334,56.87,1,0,FALSE
DE,No,Yes,30,415,92,0,1,33,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,697.7,290,73.06,2,0,FALSE
GA,No,Yes,24,510,185,0,1,31,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,625.4,388,60.1,1,0,FALSE
DC,No,No,40,415,148,0,0,0,202,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,717.4,323,69.71,1,0,FALSE
AZ,No,Yes,18,408,94,0,1,38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,482.1,317,53.58,1,0,FALSE
CO,No,No,17,408,68,0,0,0,237.1,105,40.31,223.5,105,19,97.4,79,4.38,13.2,2,3.56,571.2,291,67.25,1,0,FALSE
LA,No,No,23,408,179,0,0,0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,619.4,326,62.62,0,0,FALSE
NE,No,No,19,415,94,0,0,0,252.6,104,42.94,169,125,14.37,170.9,106,7.69,11.1,7,3,603.6,342,68,2,0,FALSE
MN,No,No,37,415,62,0,0,0,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,544.9,316,53.26,0,0,FALSE
AR,No,No,27,408,116,0,0,0,173.5,93,29.5,194.1,76,16.5,208,112,9.36,16.2,10,4.37,591.8,291,59.73,3,0,FALSE
KS,No,No,1,408,70,0,0,0,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0,0,0,725.6,346,73.36,3,0,FALSE
WV,Yes,Yes,8,510,94,1,1,23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,703.3,369,67.01,4,0,FALSE
AK,No,No,25,415,126,0,0,0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,345.6,304,31.05,5,1,TRUE
NY,No,Yes,41,408,67,0,1,36,115.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,12,2.67,533.1,320,50.17,2,0,FALSE
NH,No,No,22,408,19,0,0,0,186.1,98,31.64,254.3,57,21.62,214,127,9.63,14.6,7,3.94,669,289,66.83,2,0,FALSE
VA,Yes,No,14,510,170,1,0,0,259.9,68,44.18,245,122,20.83,134.4,121,6.05,8.4,3,2.27,647.7,314,73.33,3,0,FALSE
NM,No,No,38,415,73,0,0,0,214.3,145,36.43,268.5,135,22.82,241.2,92,10.85,10.8,13,2.92,734.8,385,73.02,1,0,FALSE
NY,No,No,41,408,106,0,0,0,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,431.7,320,44.13,1,0,FALSE
WY,No,No,20,510,164,0,0,0,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9,3,2.43,519.9,352,52.02,1,0,FALSE
WA,No,No,36,408,51,0,0,0,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46,660.1,314,68.3,1,0,FALSE
CO,No,No,17,415,107,0,0,0,133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4,435.4,298,45.54,0,0,FALSE
TX,No,No,15,415,130,0,0,0,176.9,109,30.07,90.7,104,7.71,238,69,10.71,9.5,2,2.57,515.1,284,51.06,1,0,FALSE
KY,No,No,42,408,80,0,0,0,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,622,274,64.01,2,0,FALSE
MT,No,No,11,415,94,0,0,0,137.5,118,23.38,203.2,88,17.27,150,131,6.75,13.4,2,3.62,504.1,339,51.02,0,0,FALSE
OK,No,Yes,4,408,118,0,1,23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,584.7,255,71.31,1,0,FALSE
MD,No,Yes,26,415,117,0,1,23,198.1,86,33.68,177,86,15.05,180.5,92,8.12,6.8,6,1.84,562.4,270,58.69,1,0,FALSE
TN,No,No,47,415,78,0,0,0,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,603.1,368,55.33,0,0,FALSE
ME,Yes,Yes,43,510,131,1,1,26,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,761.7,332,81.98,4,1,TRUE
DC,No,No,40,408,63,0,0,0,83,64,14.11,177,106,15.05,245.7,89,11.06,13,3,3.51,518.7,262,43.73,0,0,FALSE
MN,No,Yes,37,415,53,0,1,24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,629.2,383,58.3,3,0,FALSE
DE,No,No,30,408,62,0,0,0,182.3,101,30.99,328.2,93,27.9,245,131,11.03,11.2,1,3.02,766.7,326,72.94,2,0,FALSE
MD,No,No,26,415,97,0,0,0,218,86,37.06,184,94,15.64,240.5,110,10.82,6.4,8,1.73,648.9,298,65.25,3,0,FALSE
MI,No,No,45,510,105,0,0,0,140.6,109,23.9,178.6,51,15.18,217,83,9.76,6.8,3,1.84,543,246,50.68,2,0,FALSE
WA,No,No,36,415,157,0,0,0,152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54,617.7,282,59.3,1,0,FALSE
MO,No,Yes,7,415,66,0,1,36,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27,519,272,47.81,1,0,FALSE
OR,No,No,29,415,38,0,0,0,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92,615.2,284,61.89,3,0,FALSE
MD,No,No,26,510,106,0,0,0,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29,638.1,294,64.26,3,0,FALSE
RI,No,No,9,510,99,0,0,0,217.2,112,36.92,246.7,89,20.97,226.1,89,10.17,15.8,7,4.27,705.8,297,72.33,3,0,FALSE
AZ,Yes,No,18,510,144,1,0,0,203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,11.9,11,3.21,657.3,308,67.6,0,0,FALSE
PA,No,Yes,48,415,82,0,1,24,155.2,131,26.38,244.5,106,20.78,122.4,68,5.51,10.7,3,2.89,532.8,308,55.56,1,0,FALSE
